Manufacturer Name,Model Number,Technology,Energy_Capacity_kWh,Max_Continuous_Discharge_kW,C_Rate,Certificate Date (mm/dd/yyyy)
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/230.4V-L15,LiFePO4,34.1,34.1,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M1-C-32/256V-J10,LiFePO4,37.89,37.89,1.00,24/12/2021
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M1-C-32/256V-L10,LiFePO4,37.89,37.89,1.00,24/12/2021
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/268.8V-L10,LiFePO4,39.78,39.78,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/268.8V-L15,LiFePO4,39.78,39.78,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/268.8V-E10,LiFePO4,39.781,19.8905,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/268.8V-E15,LiFePO4,39.781,19.8905,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M1-C-32/288V-J10,LiFePO4,42.62,42.62,1.00,24/12/2021
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M1-C-32/288V-L10,LiFePO4,42.62,42.62,1.00,24/12/2021
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/307.2V-E10,LiFePO4,45.464,22.732,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/307.2V-E15,LiFePO4,45.464,22.732,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/307.2V-J10,LiFePO4,45.47,45.47,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/307.2V-L10,LiFePO4,45.47,45.47,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/307.2V-L15,LiFePO4,45.47,45.47,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/192V-E15,LiFePO4,47.04,23.52,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/192V-L15,LiFePO4,47.04,23.52,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M1-C-32/320V-J10,LiFePO4,47.36,47.36,1.00,24/12/2021
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M1-C-32/320V-L10,LiFePO4,47.36,47.36,1.00,24/12/2021
